job_board,post_url,company,industry,company_location,job_title,listed_skill,seniority_level,job_type,years_experience,skill_number,discrete_skill
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short1,applying big data
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short2,big data
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short3,hadoop
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short4,spark
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short1,databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short2,experience using relational databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short3,relational databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short4,sql
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short1,databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short2,experience using relational databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short3,relational databases
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short4,sql
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience using relational databases and sql,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short1,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short2,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,msc phd in computer science or engineering,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short1,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short2,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,8 years of industry experience in the field of health sensing and health technologies,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short1,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short2,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience building out ml infrastructure,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short1,deep learning
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short2,deep learning frameworks
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert proficiency with ml and deep learning frameworks,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short1,expert level python
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short2,python
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short3,pytorch
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short4,tensorflow
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,expert level python pytorch and tensorflow,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short1,signal processing
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short2,time series
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511294206,Storm3,Staffing and Recruiting,,Head of Data Science,experience working with signal processing and time series data,,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short1,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short2,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),master s degree in related discipline preferred math physics finance economics or a bachelor s degree in the fields listed or equally quantitative field,Mid-Senior level,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short1,analytics
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short2,model development
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short3,strategies
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),minimum three years of experience in credit risk analytics including model development underwriting strategies and reporting analytics,Mid-Senior level,Remote,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3511786933,Engtal,Staffing and Recruiting,"Los Angeles, CA",Senior Data Scientist (Credit Risk),advanced proficiency with statistical analytical packages such as python sas spark stata matlab tableau and or r and sql required python is a hard requirement,Mid-Senior level,Remote,,skill_short1,analytical packages
